"","Product_code","PriceperKg","d1","week_num"
"407","23000187",20,2022-04-07,"14"
"408","23000188",99,2022-01-06,"01"
"409","23000188",100,2022-01-07,"01"
"410","23000188",108,2022-01-13,"02"
"411","23000188",100,2022-02-10,"06"
"412","23000188",92,2022-02-17,"07"
"413","23000188",88,2022-02-22,"08"
"414","23000188",88,2022-03-01,"09"
"415","23000188",92,2022-03-02,"09"
"416","23000188",95,2022-03-09,"10"
"417","23000188",97,2022-03-16,"11"
"418","23000188",96,2022-03-17,"11"
"419","23000188",98,2022-03-23,"12"
"420","23000188",102,2022-03-31,"13"
"421","23000188",106,2022-04-07,"14"
"422","23000188",113,2022-04-21,"16"
"423","23000188",121,2022-04-28,"17"
"424","23000188",125,2022-05-05,"18"
"425","23000189",82,2022-01-06,"01"
"426","23000189",83,2022-01-07,"01"
"427","23000189",91,2022-01-13,"02"
"428","23000189",84,2022-02-10,"06"
"429","23000189",77,2022-02-17,"07"
"430","23000189",74,2022-02-22,"08"
"431","23000189",74,2022-03-01,"09"
"432","23000189",78,2022-03-02,"09"
"433","23000189",81,2022-03-09,"10"
"434","23000189",83,2022-03-16,"11"
"435","23000189",82,2022-03-17,"11"
"436","23000189",84,2022-03-23,"12"
"437","23000189",89,2022-03-31,"13"
"438","23000189",93,2022-04-07,"14"
"439","23000189",99,2022-04-21,"16"
"440","23000189",104,2022-04-28,"17"
"441","23000190",56,2022-01-06,"01"
"442","23000190",57,2022-01-07,"01"
"443","23000190",65,2022-01-13,"02"
"444","23000190",58,2022-02-10,"06"
"445","23000190",53,2022-02-17,"07"
"446","23000190",51,2022-02-22,"08"
"447","23000190",51,2022-03-01,"09"
"448","23000190",55,2022-03-02,"09"
"449","23000190",58,2022-03-09,"10"
"450","23000190",60,2022-03-16,"11"
"451","23000190",59,2022-03-17,"11"
"452","23000190",61,2022-03-23,"12"
"453","23000190",66,2022-03-31,"13"
"454","23000190",70,2022-04-07,"14"
"455","23000190",76,2022-04-21,"16"
"456","23000190",82,2022-04-28,"17"
"457","23000191",147,2022-01-07,"01"
"458","23000191",147,2022-03-01,"09"
"459","23000191",149,2022-03-16,"11"
"460","23000191",148,2022-03-17,"11"
"461","23000191",150,2022-03-23,"12"
"462","23000191",154,2022-03-31,"13"
"463","23000191",158,2022-04-07,"14"
"464","23000191",165,2022-04-21,"16"
"465","23000191",171,2022-04-28,"17"
"466","23000191",175,2022-05-05,"18"
"467","23000192",37,2022-01-06,"01"
"468","23000192",38,2022-01-07,"01"
"469","23000192",38,2022-03-01,"09"
"470","23000192",37,2022-03-17,"11"
"471","23000192",39,2022-04-07,"14"
"472","23000192",41,2022-04-28,"17"
"473","23000192",45,2022-05-05,"18"
"474","23000193",34,2022-01-06,"01"
"475","23000193",35,2022-01-07,"01"
"476","23000193",39,2022-01-13,"02"
"477","23000193",35,2022-02-10,"06"
"478","23000193",31,2022-02-17,"07"
"479","23000193",28,2022-02-22,"08"
"480","23000193",28,2022-03-01,"09"
"481","23000193",32,2022-03-02,"09"
"482","23000193",31,2022-03-17,"11"
"483","23000193",41,2022-04-28,"17"
"484","23000193",47,2022-05-05,"18"
"485","23000194",48,2022-01-06,"01"
"486","23000194",49,2022-01-07,"01"
"487","23000194",55,2022-01-13,"02"
"488","23000194",52,2022-02-10,"06"
"489","23000194",49,2022-02-17,"07"
"490","23000194",48,2022-02-22,"08"
"491","23000194",48,2022-03-01,"09"
"492","23000194",52,2022-03-02,"09"
"493","23000194",55,2022-03-09,"10"
"494","23000194",57,2022-03-16,"11"
"495","23000194",56,2022-03-17,"11"
"496","23000194",53,2022-03-23,"12"
"497","23000194",57,2022-03-31,"13"
"498","23000194",61,2022-04-07,"14"
"499","23000194",65,2022-04-21,"16"
"500","23000194",69,2022-04-28,"17"
"501","23000197",61,2022-01-06,"01"
"502","23000197",62,2022-01-07,"01"
"503","23000197",68,2022-01-13,"02"
"504","23000197",65,2022-01-27,"04"
"505","23000197",64,2022-02-03,"05"
"506","23000197",60,2022-02-10,"06"
"507","23000197",56,2022-02-17,"07"
"508","23000197",54,2022-02-19,"07"
"509","23000197",51,2022-02-22,"08"
"510","23000197",51,2022-03-01,"09"
"511","23000197",52,2022-03-02,"09"
"512","23000197",55,2022-03-09,"10"
"513","23000197",57,2022-03-16,"11"
"514","23000197",56,2022-03-17,"11"
"515","23000197",59,2022-03-23,"12"
"516","23000197",64,2022-03-31,"13"
"517","23000197",65,2022-04-01,"13"
"518","23000197",67,2022-04-07,"14"
"519","23000197",69,2022-04-11,"15"
"520","23000197",72,2022-04-28,"17"
"521","23000198",59,2022-01-06,"01"
"522","23000198",404.15,2022-01-06,"01"
"523","23000198",411,2022-01-07,"01"
"524","23000198",60,2022-01-07,"01"
"525","23000198",66,2022-01-13,"02"
"526","23000198",452.1,2022-01-13,"02"
"527","23000198",431.55,2022-01-27,"04"
"528","23000198",63,2022-01-27,"04"
"529","23000198",424.7,2022-02-03,"05"
"530","23000198",62,2022-02-03,"05"
"531","23000198",58,2022-02-10,"06"
"532","23000198",397.3,2022-02-10,"06"
"533","23000198",369.9,2022-02-17,"07"
"534","23000198",54,2022-02-17,"07"
"535","23000198",356.2,2022-02-19,"07"
"536","23000198",52,2022-02-19,"07"
"537","23000198",335.65,2022-02-22,"08"
"538","23000198",49,2022-02-22,"08"
"539","23000198",49,2022-03-01,"09"
"540","23000198",335.65,2022-03-01,"09"
"541","23000198",50,2022-03-02,"09"
"542","23000198",342.5,2022-03-02,"09"
"543","23000198",363.85,2022-03-09,"10"
"544","23000198",53,2022-03-09,"10"
"545","23000198",55,2022-03-16,"11"
"546","23000198",376.85,2022-03-16,"11"
"547","23000198",54,2022-03-17,"11"
"548","23000198",370,2022-03-17,"11"
"549","23000198",57,2022-03-23,"12"
"550","23000198",391,2022-03-23,"12"
"551","23000198",62,2022-03-31,"13"
"552","23000198",425,2022-03-31,"13"
"553","23000198",439,2022-04-07,"14"
"554","23000198",64,2022-04-07,"14"
"555","23000198",66,2022-04-11,"15"
"556","23000198",453,2022-04-11,"15"
"557","23000198",68,2022-04-28,"17"
"558","23000198",466,2022-04-28,"17"
"559","23000200",2,2022-03-01,"09"
"560","23000200",1,2022-03-17,"11"
"561","23000200",2,2022-04-01,"13"
"562","23000201",74,2022-01-06,"01"
"563","23000201",75,2022-01-07,"01"
"564","23000201",75,2022-03-01,"09"
"565","23000201",74,2022-03-17,"11"
"566","23000202",82,2022-01-06,"01"
"567","23000202",83,2022-01-07,"01"
"568","23000202",83,2022-03-01,"09"
"569","23000202",81,2022-03-16,"11"
"570","23000202",80,2022-03-17,"11"
"571","23000203",62,2022-01-06,"01"
"572","23000203",63,2022-01-07,"01"
"573","23000203",63,2022-03-01,"09"
"574","23000203",62,2022-03-17,"11"
"575","23000205",51,2022-01-06,"01"
"576","23000205",52,2022-01-07,"01"
"577","23000205",55,2022-01-27,"04"
"578","23000205",55,2022-03-01,"09"
"579","23000205",54,2022-03-17,"11"
"580","23000205",57,2022-03-31,"13"
"581","23000205",59,2022-04-07,"14"
"582","23000205",61,2022-04-11,"15"
"583","23000206",61,2022-01-06,"01"
"584","23000206",62,2022-01-07,"01"
"585","23000206",62,2022-03-01,"09"
"586","23000206",61,2022-03-17,"11"
"587","23000206",64,2022-03-31,"13"
"588","23000206",67,2022-04-07,"14"
"589","23000206",71,2022-04-21,"16"
"590","23000207",53,2022-03-01,"09"
"591","23000207",52,2022-03-17,"11"
"592","23000207",53,2022-04-01,"13"
"593","23000208",66,2022-01-06,"01"
"594","23000208",68,2022-01-07,"01"
"595","23000208",68,2022-03-01,"09"
"596","23000208",67,2022-03-17,"11"
"597","23000208",68,2022-04-28,"17"
"598","23000208",69,2022-05-05,"18"
"599","23000209",74,2022-01-06,"01"
"600","23000209",75,2022-01-07,"01"
"601","23000209",73,2022-02-03,"05"
"602","23000209",73,2022-03-01,"09"
"603","23000209",72,2022-03-17,"11"
"604","23000214",33,2022-01-06,"01"
"605","23000214",34,2022-01-07,"01"
"606","23000214",34,2022-03-01,"09"
"607","23000214",33,2022-03-17,"11"
"608","23000215",40,2022-01-06,"01"
"609","23000215",41,2022-01-07,"01"
"610","23000215",45,2022-01-13,"02"
"611","23000215",50,2022-01-27,"04"
"612","23000215",55,2022-02-04,"05"
"613","23000215",50,2022-02-24,"08"
"614","23000215",50,2022-03-01,"09"
"615","23000215",45,2022-03-02,"09"
"616","23000215",40,2022-03-09,"10"
"617","23000215",39,2022-03-17,"11"
"618","23000215",42,2022-03-31,"13"
"619","23000215",44,2022-04-07,"14"
"620","23000215",46,2022-04-11,"15"
"621","23000215",49,2022-04-28,"17"
"622","23000217",163,2022-01-10,"02"
"623","23000217",171,2022-01-13,"02"
"624","23000217",171,2022-03-01,"09"
"625","23000217",168,2022-03-09,"10"
"626","23000217",157,2022-03-10,"10"
"627","23000217",156,2022-03-17,"11"
"628","23000218",47,2022-01-06,"01"
"629","23000218",48,2022-01-07,"01"
"630","23000218",53,2022-01-13,"02"
"631","23000218",55,2022-02-04,"05"
"632","23000218",55,2022-03-01,"09"
"633","23000218",40,2022-03-09,"10"
"634","23000218",39,2022-03-17,"11"
"635","23000218",38,2022-03-23,"12"
"636","23000218",38,2022-03-24,"12"
"637","23000218",41,2022-03-31,"13"
"638","23000218",42,2022-04-07,"14"
"639","23000218",43,2022-04-11,"15"
"640","23000218",46,2022-05-05,"18"
"641","23000219",48,2022-01-06,"01"
"642","23000219",49,2022-01-07,"01"
"643","23000219",54,2022-01-13,"02"
"644","23000219",56,2022-02-04,"05"
"645","23000219",56,2022-03-01,"09"
"646","23000219",45,2022-03-09,"10"
"647","23000219",44,2022-03-17,"11"
"648","23000219",40,2022-03-22,"12"
"649","23000219",39,2022-03-23,"12"
"650","23000219",42,2022-03-31,"13"
"651","23000219",44,2022-04-01,"13"
"652","23000219",45,2022-04-07,"14"
"653","23000219",46,2022-04-11,"15"
"654","23000219",50,2022-05-05,"18"
"655","23000221",4,2022-03-01,"09"
"656","23000221",3,2022-03-17,"11"
"657","23000222",6,2022-03-01,"09"
"658","23000222",5,2022-03-17,"11"
"659","23000222",6,2022-04-01,"13"
"660","23000223",15,2022-03-01,"09"
"661","23000223",14,2022-03-17,"11"
"662","23000223",15,2022-04-01,"13"
"663","23000730",52,2022-03-01,"09"
"664","23000730",520,2022-03-01,"09"
"665","23000730",510,2022-03-17,"11"
"666","23000730",51,2022-03-17,"11"
"667","23000730",515,2022-03-26,"12"
"668","23000730",51.5,2022-03-26,"12"
"669","23000730",535,2022-04-28,"17"
"670","23000730",53.5,2022-04-28,"17"
"671","23000769",46.5,2022-01-10,"02"
"672","23000769",93,2022-01-10,"02"
"673","23000769",93,2022-03-01,"09"
"674","23000769",46.5,2022-03-01,"09"
"675","23000769",45.5,2022-03-17,"11"
"676","23000769",91,2022-03-17,"11"
"677","23000800",111.75,2022-03-01,"09"
"678","23000800",670.5,2022-03-01,"09"
"679","23000800",658.5,2022-03-17,"11"
"680","23000800",109.75,2022-03-17,"11"
"681","23000801",738,2022-03-01,"09"
"682","23000801",123,2022-03-01,"09"
"683","23000801",726,2022-03-17,"11"
"684","23000801",121,2022-03-17,"11"
"685","23000801",732,2022-03-26,"12"
"686","23000801",122,2022-03-26,"12"
"687","23000815",70.5,2022-01-01,"52"
"688","23000815",352.5,2022-01-01,"52"
"689","23000815",68,2022-01-13,"02"
"690","23000815",340,2022-01-13,"02"
"691","23000815",70.5,2022-01-21,"03"
