,,สภาวะราคาของชิ้นส่วนหลัก Wk23 (9 - 15.6.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
สะโพกTT,,เนื้อสะโพก,179,178,,187(P)/196,189,175,175,,เนื้อสะโพก,172,170,174,178(P)/187,,178,190
ไหล่TT,,เนื้อไหล่,175,175,,187(P)/196,189,169,175,,เนื้อไหล่,167,165,170,,175,169,180
สันนอกTT,,สันนอก,179,180,,225(P)/236,212,186,185,,สันนอก,172,175,184,203(P)/213,213,189,200
สันในTT,,สันใน,179,185,,213(P)/224,,234,185,,สันใน,181,175,176,252(P)/265,249,227,200
สันคอTT,,สันคอ,207,210,,,270,235,210,,สันคอ,210,236,234,257(P)/270,270,245,210
สามชั้นTT,,สามชั้น,194,190,,251(P)/264,260,230,220,,สามชั้น,196,195,200,247(P)/269,255,227,210
ซี่โครงแผ่นTT,,ซี่โครง,174,170,,,195,,180,,ซี่โครง,173,155,171,189(P)/199,189,178,170
คอหมูย่างTT,,คอหมูย่าง,,,,,,,,,คอหมูย่าง,270,,264,345(P)/365,,294,230
ไหล่บด,,หมูบด,167,170,,190(P)/199,195,,175,,หมูบด,167,160,175,186(P)/195,186,180,170
ขาหลังเผาแบ่งคากิ,,ขาหมู,109,107,,,109,,,,ขาหมู,108,,110,104(P)/109,113,115,110
หัวติดลิ้น,,หัวติดลิ้น,74,77,,,,,100,,หัวติดลิ้น,65,65,64,,,,80
เครื่องในชุด(หมู),,เครื่องในชุด,86,,,,,,,,เครื่องในชุด,85,,80,,,,
,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,,,เครื่องในลวกรวมหั่นชิ้น,,,,,,80,120
ขาหน้าTT,,ขาหน้า,98,94,,,,,,,ขาหน้า,90,78,85,,,,95
ขาหน้าเผาTT,,ขาหน้าเผา,101,99,,107(P)/112,,,,,ขาหน้าเผา,93,,97,,,108,100
ขาหลังTT,,ขาหลัง,106,102,,,,,,,ขาหลัง,102,78,91,,,,105
ขาหลังเผาTT,,ขาหลังเผา,109,107,,,109,,,,ขาหลังเผา,105,,103,,,112,110
มันสันหลังTT,,มันสันหลัง,,,,,,,,,มันสันหลัง,86,,,,,,
มันแข็งTT,,มันแข็ง,85,,,,,,,,มันแข็ง,86,86,88,99,,94,90
เศษมันTT,,เศษมัน         ,57,,,,,,,,เศษมัน         ,70,81,79,,,,
หนังสันหลังTT,,หนังสันหลัง,85,85,,,,,,,หนังสันหลัง,81,,76,,,87,
หนังสะโพก,,หนังสะโพก,76,84,,,,92,,,หนังสะโพก,75,,64,,,84,80
หนังหมูรวมTT,,หนังหมูรวม,,75,76,,,,,,หนังหมูรวม,72,,60,,,75,70
กระดูกซุปTT,,กระดูกซุป,78,80,,76(P)/80,79,82,,,กระดูกซุป,66,66,74,99,87,74,75
กระดูกอ่อนTT,,กระดูกอ่อน,171,180,,,,,,,กระดูกอ่อน,170,,161,,,177,200
กระดูกข้อTT,,กระดูกข้อ(คาตั๊ง) ,36,35,,,,47,,,กระดูกข้อ(คาตั๊ง) ,22,,15,,,41,25
มันเปลวTT,,มันเปลว,58,45,,,,,,,มันเปลว,57,,59,,,,50
มันท้องTT,,มันท้อง,,,,,,,,,มันท้อง,62,,,,,,55
,,หมายเหตุ : Lotus's (P) ซื้อ 3 กก.ขึ้นไป ,,,,,,,,,หมายเหตุ : Lotus's (P) ซื้อ 3 กก.ขึ้นไป ,,,,,,,
